GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mywebapp,com.example,App,86,174,7,9,20,51,8,11,1,10
mywebapp,com.example,Task,3,0,0,0,1,0,1,0,1,0
